Model,Solver,Test_id,State,Time,Obj
imada-int,choco,test2,feas,85.096903801,2524
imada-int,choco,test2,feas,85.0969769955,2523
imada-int,choco,test2,feas,85.0970239639,1565
imada-int,choco,test2,feas,85.1975958347,1564
imada-int,choco,test2,feas,85.2981779575,1563
imada-int,choco,test2,feas,85.3985898495,1562
imada-int,choco,test2,feas,85.4991779327,1561
imada-int,choco,test2,feas,85.8213789463,1560
imada-int,choco,test2,feas,86.6764259338,1559
imada-int,choco,test2,feas,87.3336799145,1558
imada-int,choco,test2,feas,88.1266918182,1557
imada-int,choco,test2,feas,98.7258808613,1556
imada-int,choco,test2,feas,98.7259459496,1555
imada-int,choco,test2,feas,98.8263118267,1554
imada-int,choco,test2,feas,106.844612837,1553
imada-int,choco,test2,feas,107.04526186,1552
imada-int,choco,test2,feas,122.790677786,1551
imada-int,choco,test2,feas,136.627311945,1550
imada-int,choco,test2,feas,151.058565855,1549
imada-int,choco,test2,feas,164.788374901,1548
imada-int,choco,test2,feas,178.419001818,1547
imada-int,choco,test2,feas,192.249177933,1546
imada-int,choco,test2,feas,268.519918919,1545
imada-int,choco,test2,feas,343.990129948,1544
imada-int,choco,test2,feas,482.999373913,1543
imada-int,choco,test2,feas,785.778927803,1542
imada-int,choco,test3,feas,86.2023448944,2524
imada-int,choco,test3,feas,86.2023968697,2523
imada-int,choco,test3,feas,86.2024278641,1565
imada-int,choco,test3,feas,86.3028349876,1564
imada-int,choco,test3,feas,86.3028798103,1563
imada-int,choco,test3,feas,86.4033718109,1562
imada-int,choco,test3,feas,86.5037589073,1561
imada-int,choco,test3,feas,87.0156269073,1560
imada-int,choco,test3,feas,87.745415926,1559
imada-int,choco,test3,feas,88.4975378513,1558
imada-int,choco,test3,feas,89.27866292,1557
imada-int,choco,test3,feas,100.118249893,1556
imada-int,choco,test3,feas,100.118297815,1555
imada-int,choco,test3,feas,100.218660831,1554
imada-int,choco,test3,feas,109.138965845,1553
imada-int,choco,test3,feas,109.239408016,1552
imada-int,choco,test3,feas,126.178923845,1551
imada-int,choco,test3,feas,141.11163497,1550
imada-int,choco,test3,feas,156.145646811,1549
imada-int,choco,test3,feas,171.180166006,1548
imada-int,choco,test3,feas,186.31250596,1547
imada-int,choco,test3,feas,201.34431386,1546
imada-int,choco,test3,feas,285.959380865,1545
imada-int,choco,test3,feas,369.44046092,1544
imada-int,choco,test3,feas,523.474265814,1543
imada-int,choco,test3,feas,855.690630913,1542
imada-int,choco,test1,feas,70.9654660225,2524
imada-int,choco,test1,feas,70.9655339718,2523
imada-int,choco,test1,feas,71.0660359859,1565
imada-int,choco,test1,feas,71.0661079884,1564
imada-int,choco,test1,feas,71.1664600372,1563
imada-int,choco,test1,feas,71.266958952,1562
imada-int,choco,test1,feas,71.267031908,1561
imada-int,choco,test1,feas,71.7776339054,1560
imada-int,choco,test1,feas,72.4393389225,1559
imada-int,choco,test1,feas,73.2006449699,1558
imada-int,choco,test1,feas,73.9809019566,1557
